question,row_count,columns,sample_rows_json
List all products,110,"productCode, productName, productLine, productScale, productVendor, productDescription, quantityInStock, buyPrice, MSRP","[{""productCode"": ""S10_1678"", ""productName"": ""1969 Harley Davidson Ultimate Chopper"", ""productLine"": ""Motorcycles"", ""productScale"": ""1:10"", ""productVendor"": ""Min Lin Diecast"", ""productDescription"": ""This replica features working kickstand, front suspension, gear-shift lever, footbrake lever, drive chain, wheels and steering. All parts are particularly delicate due to their precise scale and require special care and attention."", ""quantityInStock"": 7933, ""buyPrice"": 48.81, ""MSRP"": 95.7}, {""productCode"": ""S10_1949"", ""productName"": ""1952 Alpine Renault 1300"", ""productLine"": ""Classic Cars"", ""productScale"": ""1:10"", ""productVendor"": ""Classic Metal Creations"", ""productDescription"": ""Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis."", ""quantityInStock"": 7305, ""buyPrice"": 98.58, ""MSRP"": 214.3}, {""productCode"": ""S10_2016"", ""productName"": ""1996 Moto Guzzi 1100i"", ""productLine"": ""Motorcycles"", ""productScale"": ""1:10"", ""productVendor"": ""Highway 66 Mini Classics"", ""productDescription"": ""Official Moto Guzzi logos and insignias, saddle bags located on side of motorcycle, detailed engine, working steering, working suspension, two leather seats, luggage rack, dual exhaust pipes, small saddle bag located on handle bars, two-tone paint with chrome accents, superior die-cast detail , rotating wheels , working kick stand, diecast metal with plastic parts and baked enamel finish."", ""quantityInStock"": 6625, ""buyPrice"": 68.99, ""MSRP"": 118.94}, {""productCode"": ""S10_4698"", ""productName"": ""2003 Harley-Davidson Eagle Drag Bike"", ""productLine"": ""Motorcycles"", ""productScale"": ""1:10"", ""productVendor"": ""Red Start Diecast"", ""productDescription"": ""Model features, official Harley Davidson logos and insignias, detachable rear wheelie bar, heavy diecast metal with resin parts, authentic multi-color tampo-printed graphics, separate engine drive belts, free-turning front fork, rotating tires and rear racing slick, certificate of authenticity, detailed engine, display stand , precision diecast replica, baked enamel finish, 1:10 scale model, removable fender, seat and tank cover piece for displaying the superior detail of the v-twin engine"", ""quantityInStock"": 5582, ""buyPrice"": 91.02, ""MSRP"": 193.66}, {""productCode"": ""S10_4757"", ""productName"": ""1972 Alfa Romeo GTA"", ""productLine"": ""Classic Cars"", ""productScale"": ""1:10"", ""productVendor"": ""Motor City Art Classics"", ""productDescription"": ""Features include: Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis."", ""quantityInStock"": 3252, ""buyPrice"": 85.68, ""MSRP"": 136}]"
Get all customers,122,"customerNumber, customerName, contactLastName, contactFirstName, phone, addressLine1, addressLine2, city, state, postalCode, country, salesRepEmployeeNumber, creditLimit","[{""customerNumber"": 103, ""customerName"": ""Atelier graphique"", ""contactLastName"": ""Schmitt"", ""contactFirstName"": ""Carine "", ""phone"": ""40.32.2555"", ""addressLine1"": ""54, rue Royale"", ""addressLine2"": null, ""city"": ""Nantes"", ""state"": null, ""postalCode"": ""44000"", ""country"": ""France"", ""salesRepEmployeeNumber"": 1370, ""creditLimit"": 21000}, {""customerNumber"": 112, ""customerName"": ""Signal Gift Stores"", ""contactLastName"": ""King"", ""contactFirstName"": ""Jean"", ""phone"": ""7025551838"", ""addressLine1"": ""8489 Strong St."", ""addressLine2"": null, ""city"": ""Las Vegas"", ""state"": ""NV"", ""postalCode"": ""83030"", ""country"": ""USA"", ""salesRepEmployeeNumber"": 1166, ""creditLimit"": 71800}, {""customerNumber"": 114, ""customerName"": ""Australian Collectors, Co."", ""contactLastName"": ""Ferguson"", ""contactFirstName"": ""Peter"", ""phone"": ""03 9520 4555"", ""addressLine1"": ""636 St Kilda Road"", ""addressLine2"": ""Level 3"", ""city"": ""Melbourne"", ""state"": ""Victoria"", ""postalCode"": ""3004"", ""country"": ""Australia"", ""salesRepEmployeeNumber"": 1611, ""creditLimit"": 117300}, {""customerNumber"": 119, ""customerName"": ""La Rochelle Gifts"", ""contactLastName"": ""Labrune"", ""contactFirstName"": ""Janine "", ""phone"": ""40.67.8555"", ""addressLine1"": ""67, rue des Cinquante Otages"", ""addressLine2"": null, ""city"": ""Nantes"", ""state"": null, ""postalCode"": ""44000"", ""country"": ""France"", ""salesRepEmployeeNumber"": 1370, ""creditLimit"": 118200}, {""customerNumber"": 121, ""customerName"": ""Baane Mini Imports"", ""contactLastName"": ""Bergulfsen"", ""contactFirstName"": ""Jonas "", ""phone"": ""07-98 9555"", ""addressLine1"": ""Erling Skakkes gate 78"", ""addressLine2"": null, ""city"": ""Stavern"", ""state"": null, ""postalCode"": ""4110"", ""country"": ""Norway"", ""salesRepEmployeeNumber"": 1504, ""creditLimit"": 81700}]"
Show all orders,326,"orderNumber, orderDate, requiredDate, shippedDate, status, comments, customerNumber","[{""orderNumber"": 10100, ""orderDate"": ""2003-01-06"", ""requiredDate"": ""2003-01-13"", ""shippedDate"": ""2003-01-10"", ""status"": ""Shipped"", ""comments"": null, ""customerNumber"": 363}, {""orderNumber"": 10101, ""orderDate"": ""2003-01-09"", ""requiredDate"": ""2003-01-18"", ""shippedDate"": ""2003-01-11"", ""status"": ""Shipped"", ""comments"": ""Check on availability."", ""customerNumber"": 128}, {""orderNumber"": 10102, ""orderDate"": ""2003-01-10"", ""requiredDate"": ""2003-01-18"", ""shippedDate"": ""2003-01-14"", ""status"": ""Shipped"", ""comments"": null, ""customerNumber"": 181}, {""orderNumber"": 10103, ""orderDate"": ""2003-01-29"", ""requiredDate"": ""2003-02-07"", ""shippedDate"": ""2003-02-02"", ""status"": ""Shipped"", ""comments"": null, ""customerNumber"": 121}, {""orderNumber"": 10104, ""orderDate"": ""2003-01-31"", ""requiredDate"": ""2003-02-09"", ""shippedDate"": ""2003-02-01"", ""status"": ""Shipped"", ""comments"": null, ""customerNumber"": 141}]"
List all employees,23,"employeeNumber, lastName, firstName, extension, email, officeCode, reportsTo, jobTitle","[{""employeeNumber"": 1002, ""lastName"": ""Murphy"", ""firstName"": ""Diane"", ""extension"": ""x5800"", ""email"": ""dmurphy@classicmodelcars.com"", ""officeCode"": ""1"", ""reportsTo"": null, ""jobTitle"": ""President""}, {""employeeNumber"": 1056, ""lastName"": ""Patterson"", ""firstName"": ""Mary"", ""extension"": ""x4611"", ""email"": ""mpatterso@classicmodelcars.com"", ""officeCode"": ""1"", ""reportsTo"": 1002, ""jobTitle"": ""VP Sales""}, {""employeeNumber"": 1076, ""lastName"": ""Firrelli"", ""firstName"": ""Jeff"", ""extension"": ""x9273"", ""email"": ""jfirrelli@classicmodelcars.com"", ""officeCode"": ""1"", ""reportsTo"": 1002, ""jobTitle"": ""VP Marketing""}, {""employeeNumber"": 1088, ""lastName"": ""Patterson"", ""firstName"": ""William"", ""extension"": ""x4871"", ""email"": ""wpatterson@classicmodelcars.com"", ""officeCode"": ""6"", ""reportsTo"": 1056, ""jobTitle"": ""Sales Manager (APAC)""}, {""employeeNumber"": 1102, ""lastName"": ""Bondur"", ""firstName"": ""Gerard"", ""extension"": ""x5408"", ""email"": ""gbondur@classicmodelcars.com"", ""officeCode"": ""4"", ""reportsTo"": 1056, ""jobTitle"": ""Sale Manager (EMEA)""}]"
Get all offices,7,"officeCode, city, phone, addressLine1, addressLine2, state, country, postalCode, territory","[{""officeCode"": ""1"", ""city"": ""San Francisco"", ""phone"": ""+1 650 219 4782"", ""addressLine1"": ""100 Market Street"", ""addressLine2"": ""Suite 300"", ""state"": ""CA"", ""country"": ""USA"", ""postalCode"": ""94080"", ""territory"": ""NA""}, {""officeCode"": ""2"", ""city"": ""Boston"", ""phone"": ""+1 215 837 0825"", ""addressLine1"": ""1550 Court Place"", ""addressLine2"": ""Suite 102"", ""state"": ""MA"", ""country"": ""USA"", ""postalCode"": ""02107"", ""territory"": ""NA""}, {""officeCode"": ""3"", ""city"": ""NYC"", ""phone"": ""+1 212 555 3000"", ""addressLine1"": ""523 East 53rd Street"", ""addressLine2"": ""apt. 5A"", ""state"": ""NY"", ""country"": ""USA"", ""postalCode"": ""10022"", ""territory"": ""NA""}, {""officeCode"": ""4"", ""city"": ""Paris"", ""phone"": ""+33 14 723 4404"", ""addressLine1"": ""43 Rue Jouffroy Dabbans"", ""addressLine2"": null, ""state"": null, ""country"": ""France"", ""postalCode"": ""75017"", ""territory"": ""EMEA""}, {""officeCode"": ""5"", ""city"": ""Tokyo"", ""phone"": ""+81 33 224 5000"", ""addressLine1"": ""4-1 Kioicho"", ""addressLine2"": null, ""state"": ""Chiyoda-Ku"", ""country"": ""Japan"", ""postalCode"": ""102-8578"", ""territory"": ""Japan""}]"
Show all product lines,7,"productLine, textDescription, htmlDescription, image","[{""productLine"": ""Classic Cars"", ""textDescription"": ""Attention car enthusiasts: Make your wildest car ownership dreams come true. Whether you are looking for classic muscle cars, dream sports cars or movie-inspired miniatures, you will find great choices in this category. These replicas feature superb attention to detail and craftsmanship and offer features such as working steering system, opening forward compartment, opening rear trunk with removable spare wheel, 4-wheel independent spring suspension, and so on. The models range in size from 1:10 to 1:24 scale and include numerous limited edition and several out-of-production vehicles. All models include a certificate of authenticity from their manufacturers and come fully assembled and ready for display in the home or office."", ""htmlDescription"": null, ""image"": null}, {""productLine"": ""Motorcycles"", ""textDescription"": ""Our motorcycles are state of the art replicas of classic as well as contemporary motorcycle legends such as Harley Davidson, Ducati and Vespa. Models contain stunning details such as official logos, rotating wheels, working kickstand, front suspension, gear-shift lever, footbrake lever, and drive chain. Materials used include diecast and plastic. The models range in size from 1:10 to 1:50 scale and include numerous limited edition and several out-of-production vehicles. All models come fully assembled and ready for display in the home or office. Most include a certificate of authenticity."", ""htmlDescription"": null, ""image"": null}, {""productLine"": ""Planes"", ""textDescription"": ""Unique, diecast airplane and helicopter replicas suitable for collections, as well as home, office or classroom decorations. Models contain stunning details such as official logos and insignias, rotating jet engines and propellers, retractable wheels, and so on. Most come fully assembled and with a certificate of authenticity from their manufacturers."", ""htmlDescription"": null, ""image"": null}, {""productLine"": ""Ships"", ""textDescription"": ""The perfect holiday or anniversary gift for executives, clients, friends, and family. These handcrafted model ships are unique, stunning works of art that will be treasured for generations! They come fully assembled and ready for display in the home or office. We guarantee the highest quality, and best value."", ""htmlDescription"": null, ""image"": null}, {""productLine"": ""Trains"", ""textDescription"": ""Model trains are a rewarding hobby for enthusiasts of all ages. Whether you are looking for collectible wooden trains, electric streetcars or locomotives, youwill find a number of great choices for any budget within this category. The interactive aspect of trains makes toy trains perfect for young children. The wooden train sets are ideal for children under the age of 5."", ""htmlDescription"": null, ""image"": null}]"
List all payments,273,"customerNumber, checkNumber, paymentDate, amount","[{""customerNumber"": 103, ""checkNumber"": ""HQ336336"", ""paymentDate"": ""2004-10-19"", ""amount"": 6066.78}, {""customerNumber"": 103, ""checkNumber"": ""JM555205"", ""paymentDate"": ""2003-06-05"", ""amount"": 14571.44}, {""customerNumber"": 103, ""checkNumber"": ""OM314933"", ""paymentDate"": ""2004-12-18"", ""amount"": 1676.14}, {""customerNumber"": 112, ""checkNumber"": ""BO864823"", ""paymentDate"": ""2004-12-17"", ""amount"": 14191.12}, {""customerNumber"": 112, ""checkNumber"": ""HQ55022"", ""paymentDate"": ""2003-06-06"", ""amount"": 32641.98}]"
Get product names and prices,110,"productName, buyPrice, MSRP","[{""productName"": ""18th Century Vintage Horse Carriage"", ""buyPrice"": 60.74, ""MSRP"": 104.72}, {""productName"": ""18th century schooner"", ""buyPrice"": 82.34, ""MSRP"": 122.89}, {""productName"": ""1900s Vintage Bi-Plane"", ""buyPrice"": 34.25, ""MSRP"": 68.51}, {""productName"": ""1900s Vintage Tri-Plane"", ""buyPrice"": 36.23, ""MSRP"": 72.45}, {""productName"": ""1903 Ford Model A"", ""buyPrice"": 68.3, ""MSRP"": 136.59}]"
Get customer names and cities,122,"customerName, city","[{""customerName"": ""ANG Resellers"", ""city"": ""Madrid""}, {""customerName"": ""AV Stores, Co."", ""city"": ""Manchester""}, {""customerName"": ""Alpha Cognac"", ""city"": ""Toulouse""}, {""customerName"": ""American Souvenirs Inc"", ""city"": ""New Haven""}, {""customerName"": ""Amica Models & Co."", ""city"": ""Torino""}]"
List employee first and last names,23,"firstName, lastName","[{""firstName"": ""Gerard"", ""lastName"": ""Bondur""}, {""firstName"": ""Loui"", ""lastName"": ""Bondur""}, {""firstName"": ""Larry"", ""lastName"": ""Bott""}, {""firstName"": ""Anthony"", ""lastName"": ""Bow""}, {""firstName"": ""Pamela"", ""lastName"": ""Castillo""}]"
